id,tenant_id,case_number,case_type,title,status,workflow_type,patient_name,patient_id_number,medical_record_no,room_number,created_by_user_id,updated_by_user_id,closed_at,metadata,version,created_at,updated_at
969cee3a-28a9-48ae-a0f5-1bab73e7a541,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,CASE-MMHFABHU,DISCHARGE_REFUSAL,Discharge refusal - basel,OPEN,discharge_refusal,basel,2136547899,123456789,20-10,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""room_number"": ""20-10"", ""signer_name"": ""باسل"", ""signer_role"": ""نفسه"", ""patient_name"": ""basel"", ""refusal_reason"": ""المريض يعاني من الم "", ""signature_text"": ""موافق"", ""patient_id_number"": ""2136547899"", ""discussion_summary"": ""الاتفاق على خطة خروج ومعالجة الالم بالمسكنات مع المتابعة والطب الاتصالي"", ""attending_physician"": ""اشرف امير "", ""discharge_decision_at"": ""2026-03-08T01:17"", ""medical_record_number"": ""123456789"", ""insurance_coverage_status"": ""لا يوجد"", ""social_administrative_interventions"": ""لا يوجد""}",1,2026-03-08 07:20:22.196+00,2026-03-08 07:20:22.196+00
0be898ce-a8d6-4379-8b56-8f64881c194c,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,CASE-MMJ021Q0,DISCHARGE_REFUSAL,Discharge refusal - FAISAL,OPEN,discharge_refusal,FAISAL,123456780,123456,330,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""room_number"": ""330"", ""signer_name"": ""NO"", ""signer_role"": ""NO"", ""patient_name"": ""FAISAL"", ""refusal_reason"": ""NO"", ""shc_compliance"": null, ""signature_text"": ""NO"", ""patient_id_number"": ""123456780"", ""discussion_summary"": ""NO"", ""attending_physician"": ""FAHAD"", ""discharge_decision_at"": ""2026-03-09T00:49"", ""medical_record_number"": ""123456"", ""insurance_coverage_status"": ""NO"", ""social_administrative_interventions"": ""NO""}",1,2026-03-09 09:49:34.393+00,2026-03-09 09:49:34.393+00
23b3b476-4d21-459d-b132-758f16388d6c,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,CASE-MMJPWIYL,DISCHARGE_REFUSAL,Discharge refusal - ZAID,OPEN,discharge_refusal,ZAID,098,098765,223,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""room_number"": ""223"", ""signer_name"": ""ZAID"", ""signer_role"": ""ZAID"", ""patient_name"": ""ZAID"", ""refusal_reason"": ""2W"", ""shc_compliance"": null, ""signature_text"": ""ZAID"", ""patient_id_number"": ""098"", ""discussion_summary"": ""ZAID"", ""attending_physician"": ""22"", ""discharge_decision_at"": ""2026-03-18T00:52"", ""medical_record_number"": ""098765"", ""insurance_coverage_status"": ""ZAID"", ""social_administrative_interventions"": ""ZAID""}",1,2026-03-09 21:53:06.814+00,2026-03-09 21:53:06.814+00
e5d7de45-b970-40b5-a8d7-a3170ccdb325,86f33ca1-9c02-421c-a3bd-5a1d06cf3521,DEMO-REF-1001,DISCHARGE_REFUSAL,Discharge refusal - Fatimah Al Harbi,IN_PROGRESS,discharge_refusal,Fatimah Al Harbi,1029384756,MRN-445001,A-312,8c56fcf3-3f34-460f-9eac-19fd5fb7e23b,8c56fcf3-3f34-460f-9eac-19fd5fb7e23b,,"{""signed_at"": ""2026-03-10T02:05:05.586Z"", ""room_number"": ""A-312"", ""signer_name"": ""Patient Guardian"", ""signer_role"": ""Father"", ""forms_issued"": ""Discharge Refusal Form; Financial Responsibility Notice"", ""patient_name"": ""Fatimah Al Harbi"", ""refusal_reason"": ""Family requested additional 24h home-care planning."", ""patient_id_number"": ""1029384756"", ""discussion_summary"": ""Patient family requested postponement and financial consultation."", ""attending_physician"": ""Dr. Saad Al Rashid"", ""discharge_decision_at"": ""2026-03-09T20:05:05.586Z"", ""medical_record_number"": ""MRN-445001"", ""insurance_coverage_status"": ""partially_covered"", ""social_administrative_interventions"": ""Counseling provided by nursing and patient affairs.""}",1,2026-03-09 17:50:09.276+00,2026-03-10 02:05:05.844+00
1261ad8b-8d4b-4aa2-81d2-f89c0927faa9,86f33ca1-9c02-421c-a3bd-5a1d06cf3521,DEMO-REF-1002,DISCHARGE_REFUSAL,Discharge refusal - Khalid Al Otaibi,OPEN,discharge_refusal,Khalid Al Otaibi,2039485761,MRN-445002,B-207,8c56fcf3-3f34-460f-9eac-19fd5fb7e23b,8c56fcf3-3f34-460f-9eac-19fd5fb7e23b,,"{""signed_at"": ""2026-03-10T02:05:06.836Z"", ""room_number"": ""B-207"", ""signer_name"": ""Patient Guardian"", ""signer_role"": ""Father"", ""forms_issued"": ""Discharge Refusal Form; Financial Responsibility Notice"", ""patient_name"": ""Khalid Al Otaibi"", ""refusal_reason"": ""Patient refused discharge until insurance clarification."", ""patient_id_number"": ""2039485761"", ""discussion_summary"": ""Patient family requested postponement and financial consultation."", ""attending_physician"": ""Dr. Huda Al Enezi"", ""discharge_decision_at"": ""2026-03-09T20:05:06.836Z"", ""medical_record_number"": ""MRN-445002"", ""insurance_coverage_status"": ""partially_covered"", ""social_administrative_interventions"": ""Counseling provided by nursing and patient affairs.""}",1,2026-03-09 17:50:10.685+00,2026-03-10 02:05:07.081+00
4258ad49-a8f1-42af-9953-4e5e0f4649e6,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,IMC-REF-1002,DISCHARGE_REFUSAL,Discharge refusal - Khalid Al Otaibi,OPEN,discharge_refusal,Khalid Al Otaibi,2039485761,MRN-445002,B-207,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""signed_at"": ""2026-03-10T02:05:08.302Z"", ""room_number"": ""B-207"", ""signer_name"": ""Patient Guardian"", ""signer_role"": ""Father"", ""forms_issued"": ""Discharge Refusal Form; Financial Responsibility Notice"", ""patient_name"": ""Khalid Al Otaibi"", ""refusal_reason"": ""Patient refused discharge until insurance clarification."", ""patient_id_number"": ""2039485761"", ""discussion_summary"": ""Patient family requested postponement and financial consultation."", ""attending_physician"": ""Dr. Huda Al Enezi"", ""discharge_decision_at"": ""2026-03-09T20:05:08.302Z"", ""medical_record_number"": ""MRN-445002"", ""insurance_coverage_status"": ""partially_covered"", ""social_administrative_interventions"": ""Counseling provided by nursing and patient affairs.""}",1,2026-03-09 17:50:12.173+00,2026-03-10 02:05:08.424+00
e336b152-635a-4c47-868b-1a85615d76e7,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,CASE-MMLED2XG,DISCHARGE_REFUSAL,Discharge refusal - MOHAMED,OPEN,discharge_refusal,MOHAMED,1234567890,2345,543,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""room_number"": ""543"", ""signer_name"": ""FA"", ""signer_role"": ""NA"", ""patient_name"": ""MOHAMED"", ""refusal_reason"": ""HV"", ""shc_compliance"": null, ""signature_text"": ""APPROV"", ""patient_id_number"": ""1234567890"", ""discussion_summary"": ""JKB"", ""attending_physician"": ""AHMED"", ""discharge_decision_at"": ""2026-03-11T07:07"", ""medical_record_number"": ""2345"", ""insurance_coverage_status"": ""QA"", ""social_administrative_interventions"": ""KHV""}",1,2026-03-11 02:05:36.149+00,2026-03-11 02:05:36.149+00
24b8603d-5aab-4023-a940-014d5347b629,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,CASE-MMPKTMJM,DISCHARGE_REFUSAL,Discharge refusal - fahad,OPEN,discharge_refusal,fahad,1234567898,12345,343,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""room_number"": ""343"", ""signer_name"": ""wer"", ""signer_role"": ""werf"", ""patient_name"": ""fahad"", ""refusal_reason"": ""gfd"", ""shc_compliance"": null, ""signature_text"": ""erfg"", ""patient_id_number"": ""1234567898"", ""discussion_summary"": ""fgfdd"", ""attending_physician"": ""mohamed"", ""discharge_decision_at"": ""2026-03-14T03:17"", ""medical_record_number"": ""12345"", ""insurance_coverage_status"": ""dfg"", ""social_administrative_interventions"": ""asdf""}",1,2026-03-14 00:17:30.467+00,2026-03-14 00:17:30.467+00
a7def7fb-ac96-4c91-8727-88bf8e1627c9,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,CASE-MMQWR2YF,DISCHARGE_REFUSAL,Discharge plan - dolly,OPEN,discharge_planning,dolly,2324316773,2134564,307,70264cc8-1086-45fb-bffe-7f5b383d3404,70264cc8-1086-45fb-bffe-7f5b383d3404,,"{""room_number"": ""307"", ""patient_name"": ""dolly"", ""forms_catalog"": [""discharge_plan"", ""discharge_instructions"", ""patient_pickup_acknowledgment"", ""discharge_approval"", ""discharge_refusal"", ""refusal_to_receive_patient"", ""no_caregiver_acknowledgment"", ""treatment_or_transfer_refusal"", ""risk_acknowledgment"", ""medical_education_acknowledgment"", ""minor_guardian_form""], ""notifications"": {""note"": ""Email is primary. Signature channels are optional and non-blocking."", ""enabled"": true, ""channels"": {""email"": true, ""nafez_signature_optional"": false, ""tablet_signature_optional"": false}}, ""admission_date"": ""2026-03-15"", ""discharge_plan"": {""email"": ""dolly@linagroups.com"", ""gender"": ""femail"", ""po_box"": ""23456"", ""city_name"": ""jeddah"", ""postal_code"": ""123345"", ""street_name"": ""jeddah"", ""home_address"": ""jeddah"", ""patient_name"": ""dolly"", ""date_of_birth"": ""111111"", ""district_name"": ""jeddah"", ""has_caregiver"": ""yes"", ""primary_mobile"": ""0555556678"", ""discharge_route"": ""outpatient_followup"", ""is_living_alone"": ""yes"", ""date_of_discharge"": ""03-16-2026"", ""preferred_language"": ""en"", ""discharge_instructions"": {""medication_usage"": ""استخدام الادوية"", ""contact_information"": ""055555678"", ""followup_appointment"": ""بعد اسبوع""}, ""current_medical_condition"": ""Other"", ""hospital_admission_reason"": ""اجراء عملية"", ""preferred_discharge_destination"": ""المنزل"", ""additional_comments_or_instructions"": ""لا يوجد""}, ""workflow_stages"": [""medical_assessment"", ""legal_capacity_check"", ""authorized_signatory_identification"", ""discharge_plan_preparation"", ""forms_and_consent_presentation"", ""approval_or_refusal_path"", ""legal_escalation_if_needed"", ""final_verification"", ""execute_discharge_or_hold""], ""patient_id_number"": ""2324316773"", ""attending_physician"": ""mohamed"", ""admission_department"": ""women"", ""medical_record_number"": ""2134564"", ""discharge_order_request"": {""status"": ""pending_physician"", ""requested"": true}}",1,2026-03-14 22:39:13.337+00,2026-03-14 22:39:13.337+00
7e7a1c85-4e2c-44fa-807d-5d8d513dbd1a,3c71b7f0-e99c-48f9-a94d-9d061f5c3fd8,SMOKE-1773557714986,GENERAL,Smoke Test Acknowledgment Email,OPEN,,Test Patient,ID-SMOKE-ACK,MRN-SMOKE-ACK,101,c14541cc-ef4e-4c96-8749-7a286afb070c,c14541cc-ef4e-4c96-8749-7a286afb070c,,,1,2026-03-15 06:55:14.988+00,2026-03-15 06:55:14.988+00
